role	name	condition	stars	first_date	first_date_note	first_player
通用	粘手上了...	连续4局拿到恶魔	5	2025-11-29		恶魔哥
通用	“无恶不做”	拿到过所有恶魔角色	5		已不可考	恶魔哥
通用	我是疯子？	作为恶魔，公开表示自己是疯子	4			
通用	完美犯罪	作为恶魔，从未被怀疑并获得游戏胜利	4			
通用	踽踽独狼	作为恶魔，爪牙全部死亡的情况下继续存活3天以上并获胜	3			
通用	路易十六	作为恶魔，在第一个白天被精神病砍死（真是叫人摸不着头脑）	5		已不可考	清扬
通用	不可能，绝对不可能！	作为善良玩家，公开保护恶魔直到游戏结束	3			
通用	错的不是我而是这个世界	作为善良玩家，找到恶魔但几乎无人相信	2			
通用	这合理吗？	在一局游戏中改变了三次阵营/角色	4			
厨师	庖丁解牛	作为厨师，首夜得知“3”的正确信息并找到四名邪恶玩家	4			
贵族	城堡里的三头犬	作为贵族，发现自己在首夜得知了3名邪恶玩家	3			
贵族	都是忠臣，没有奸臣！	作为贵族，发现自己在首夜得知了3名善良玩家	2			
贵族	火眼金睛	作为贵族，在第一个白天提名并处决贵族圈里的邪恶玩家	3			
共情者	夹心饼干	作为共情者，发现自己两边都坐着邪恶玩家	1			
舞蛇人	蛇舞	作为舞蛇人，在首个夜晚舞到了恶魔	4			
舞蛇人	俄罗斯轮盘赌	作为舞蛇人，在每个夜晚都选择不同玩家但从未选中恶魔	5			
舞蛇人	蛇皮走位	作为舞蛇人，成为恶魔后活到游戏结束	5			
数学家	算术大师	作为数学家，正确推理出每一晚的玩家和角色	4			
僧侣	慈悲为怀	作为僧侣，连续三天守护了恶魔的目标玩家	4			
僧侣	盲僧	作为僧侣，连续三天守护了红方玩家	5		已不可考	荷鲁斯
僧侣	贫僧也略懂些拳脚	作为僧侣，在从未守护正确的情况下提名并处决恶魔	4			
赌徒	戒赌宣传大使	作为赌徒，在第一次猜测就把自己赌死	1			
赌徒	什么是戒赌？	作为赌徒，连续三局在第一次猜测把自己赌死	4			
赌徒	赌神	作为赌徒，每天选择不同角色猜测且全部正确	4			
赌徒	命运的硬币	作为赌徒，在炼金术士与爪牙之中猜到正确角色	3			
半兽人	半兽神	作为半兽人，支配每晚死亡，使恶魔从未能成功杀人	3			
半兽人	这对吗？	作为半兽人，每晚都选择了邪恶玩家	4			
女裁缝	牵“红”线	作为女裁缝，选中两名邪恶玩家	1			
哲学家	借尸还魂	作为哲学家，选择一个已死亡角色的能力，并帮助善良阵营获胜	2			
炼金术士	以彼之道，还之彼身	作为炼金术士，用爪牙能力帮助善良阵营获胜	3			
农夫	农夫三拳	作为农夫，将3名善良玩家变成农夫	4			
农夫	农民起义	作为农夫，在一局游戏中出现至少3名农夫并获得游戏胜利	3			
管家	忠心不二	作为管家，从始至终都选择同一个主人	3			
管家	大哥说的对！	作为管家，跟随主人的投票处决恶魔	3			
解谜大师	回答正确！	作为解谜大师，解谜正确并说服大家处决恶魔	4			
解谜大师	解谜大宗师	作为解谜大师，连续三局解谜正确	5			
疯子	飞越疯人院	作为疯子，发现自己是疯子并找到真正的恶魔	2			
疯子	我是恶魔！	作为疯子，在游戏结束时仍然认为自己是恶魔	3			
疯子	坏了，我成替身了	作为疯子，坚信自己是恶魔，并帮助善良阵营处决真正的恶魔	4			
食人魔	我想做个好人	作为食人魔，转变为邪恶但始终认为自己是善良玩家	3			
麻脸巫婆	我是来退出这个队伍的	作为麻脸，把自己熬成镇民角色	2			
麻脸巫婆	捣蛋鬼	作为麻脸，在一局游戏中改变三名不同玩家的角色	3			
麻脸巫婆	谋权篡位	作为麻脸，把自己熬成恶魔并导致原生恶魔死亡	2			
麻脸巫婆	计划通	作为麻脸，把一名镇民熬成外来者并让方古传刀	3			
魔鬼代言人	我先休息一会儿！	作为魔代，从未成功保护过玩家	3			
魔鬼代言人	地狱拯救	作为魔代，连续两次保护玩家免于处决	3			
鹰身女妖	鹰身恩仇录	作为鹰身女妖，在一局游戏中始终选择同一对玩家	3			
鹰身女妖	请陛下上马！	作为鹰身女妖，连续选择三次恶魔	3			
鹰身女妖	死亡三重奏	作为鹰身女妖，在一局游戏中导致3名玩家死亡	4			
哥布林	我真的是哥布林	作为哥布林，让大家相信自己是恶魔并通过被处决获得游戏胜利	3			
痢蛭	倒霉蛋	作为痢蛭，在第一个白天宿主就被处决	2		已不可考	枫染柒萋
痢蛭	演得太像也不好...	作为痢蛭，从未被怀疑但是宿主被当作恶魔处决	3			
精神病患者	倒反天罡	作为精神病，在第一个白天杀死魔像	3		已不可考	厄运花车
精神病患者	我一看你就不像恶魔	作为精神病，在第一个白天杀死恶魔	5		已不可考	Frank
精神病患者	出院！	作为精神病，从不发动能力直到游戏结束	3		已不可考	恶魔哥
